observation_id,study_number,reference,independent_variable ,dependent_variable,additional independent variable,genus,organism(s),generation_time_metric ,generation_local_time ,generation_local_time_unit,generation_time_standardized_hours,generation_time_standardized_days,generation_local_time_source,generation_local_time_TEMP,generation_time_temp_conditions,dispersal,wave_type,variation_color,larger group,organization_level,duration,duration_unit,duration_standardized_days,flux_period,flux_period_unit,flux_period_days,flux_period_hours,manipulate_explicity ,natural_period ,notes
,1,khelifa_2019,temperature,development rate,,Sepsis,Sepsis cynipsea,generation time,7,days ,168,7,https://doi.org/10.1046/j.1420-9101.1999.00050.x,30 C,constant,none,square ,not considered,insect ,population,24,hours,1,,,0.666666667,16,y,circadian ,generation time available for each temperature and species in supplementary figure S3
,1,khelifa_2019,temperature,development rate,,Sepsis,Sepsis punctum,generation time,2,weeks,336,14,https://onlinelibrary.wiley.com/doi/full/10.1111/jeb.12452,23 C ,constant,none,square ,not considered,insect ,population,24,hours,1,,,0.666666667,16,y,circadian ,generation time available for each temperature and species in supplementary figure S3
,1,khelifa_2019,temperature,development rate,,Sepsis,Sepsis neocynipsea,generation time,7,days,168,7,"https://en.wikipedia.org/wiki/Sepsis_cynipsea#:~:text=Sepsis%20cynipsea%20is%20a%20European,where%20they%20eat%20and%20reproduce.",30 C,constant,none,square ,not considered,insect ,population,24,hours,1,,,0.666666667,16,y,circadian ,generation time available for each temperature and species in supplementary figure S3
,1,khelifa_2019,temperature,development rate,,Sepsis,Sepsis fulgens,generation time,2.5,weeks,23-Feb,17.5,https://link.springer.com/article/10.1007%2Fs00442-018-4166-7,24 C,constant,none,square ,not considered,insect ,population,24,hours,1,,,0.666666667,16,y,circadian ,generation time available for each temperature and species in supplementary figure S3
,2,descamps-julien_2005,temperature,growth rate,competition between species ,Cyclotella,Cyclotella pseudostelligera,generation time,5,hours,5,0.208333333,https://hmr.biomedcentral.com/track/pdf/10.1007/BF01609891?site=hmr.biomedcentral.com,25 C,constant,none,sinusoidal ,not considered,plankton,population,125,days ,120,,,0.5,12,y ,circadian ,"generation time is for same genus, different species, couldn't find generation time for species"
,2,descamps-julien_2005,temperature,growth rate,competition between species ,Fragilaria,Fragilaria crotonensis,,,,,unknown,,,,none,sinusoidal ,not considered,plankton,population,125,days ,120,,,0.5,12,y ,circadian ,
,3,long_2007 ,temperature,density ,low productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,closed,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature,density ,low productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,closed ,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature ,density,low productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,low ,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature,density ,low productivity,Tetrahymena,Tetrahymena thermophila,generation time,2,hours ,2,0.083333333,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608402/#:~:text=Optimal%20doubling%20time%20for%20T,C%20and%2032%C2%B0C.",35 C,constant,low ,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
,3,long_2007 ,temperature ,density,low productivity,Colpidium,Colpidium striatum,generation time,5,hours ,5,0.208333333,orland and lawler 2004 ,22 C,,high ,,white  ,plankton,community,39,days ,39,,,0.5,12,y,stochastic (manipulated on mathematical rules),
